id;numero;libelle
669;7817000;Reprises s/provis. pour dépréci. actifs circulants
670;7860000;Reprises sur provisions (produits financiers)
671;7865000;Reprises s/provi. risques et charges financiers
672;7866000;Reprises s/provi. dépréciation éléments financiers
673;7870000;Reprises sur provisions (produits exceptionnels)
674;7872000;Reprises sur provisions réglementées (immo.)
675;7873000;Reprises sur provisions réglementées (stocks)
676;7874000;Reprises sur autres provisions réglementées
677;7875000;Reprises s/provis. pour risques et charges except.
678;7876000;Reprises s/provis. pour dépréciations exception.
679;7910000;Transferts de charges d'exploitation
680;7960000;Transferts de charges financières
681;7970000;Transferts de charges exceptionnelles
682;7999990;Centralisateur des comptes Produits en clôture
